colour	x	y	label	showSelected	clickSelects	showSelectedlegendcolour	PANEL
#FB61D7	0.0454545454545448	0.227410451448371	Nigeria	Nigeria	Nigeria	Sub-Saharan Africa (all income levels)	4
#53B400	0.0454545454545448	0.358519382264508	Nicaragua	Nicaragua	Nicaragua	Latin America & Caribbean (all income levels)	4
#C49A00	0.0454545454545448	0.771141240512509	Netherlands	Netherlands	Netherlands	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.773588656878801	Norway	Norway	Norway	Europe & Central Asia (all income levels)	4
#A58AFF	0.0454545454545448	0.227372448088645	Nepal	Nepal	Nepal	South Asia	4
#F8766D	0.0454545454545448	0.737546270515592	New Zealand	New Zealand	New Zealand	East Asia & Pacific (all income levels)	4
#00C094	0.0454545454545448	0.286263214385731	Oman	Oman	Oman	Middle East & North Africa (all income levels)	4
#53B400	0.0454545454545448	0.574773700443762	Panama	Panama	Panama	Latin America & Caribbean (all income levels)	4
#53B400	0.0454545454545448	0.369929510988348	Peru	Peru	Peru	Latin America & Caribbean (all income levels)	4
#F8766D	0.0454545454545448	0.505279616749799	French Polynesia	French Polynesia	French Polynesia	East Asia & Pacific (all income levels)	4
#F8766D	0.0454545454545448	0.226876884277831	Papua New Guinea	Papua New Guinea	Papua New Guinea	East Asia & Pacific (all income levels)	4
#F8766D	0.0454545454545448	0.528341575565329	Philippines	Philippines	Philippines	East Asia & Pacific (all income levels)	4
#A58AFF	0.0454545454545448	0.354340532829146	Pakistan	Pakistan	Pakistan	South Asia	4
#C49A00	0.0454545454545448	0.682137372036513	Poland	Poland	Poland	Europe & Central Asia (all income levels)	4
#53B400	0.0454545454545448	0.701620554466738	Puerto Rico	Puerto Rico	Puerto Rico	Latin America & Caribbean (all income levels)	4
#00C094	0.0454545454545448	0.687859537910309	West Bank and Gaza	West Bank and Gaza	West Bank and Gaza	Middle East & North Africa (all income levels)	4
#C49A00	0.0454545454545448	0.609778975120075	Portugal	Portugal	Portugal	Europe & Central Asia (all income levels)	4
#F8766D	0.0454545454545448	0.703776485063939	Palau	Palau	Palau	East Asia & Pacific (all income levels)	4
#53B400	0.0454545454545448	0.619215589373394	Paraguay	Paraguay	Paraguay	Latin America & Caribbean (all income levels)	4
#00C094	0.0454545454545448	0.558676997398632	Qatar	Qatar	Qatar	Middle East & North Africa (all income levels)	4
#C49A00	0.0454545454545448	0.651557208566581	Romania	Romania	Romania	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.741460616567269	Serbia	Serbia	Serbia	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.677921659342216	Russian Federation	Russian Federation	Russian Federation	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.285504287292022	Rwanda	Rwanda	Rwanda	Sub-Saharan Africa (all income levels)	4
#00C094	0.0454545454545448	0.326794557599659	Saudi Arabia	Saudi Arabia	Saudi Arabia	Middle East & North Africa (all income levels)	4
#F8766D	0.0454545454545448	0.397017165699551	Solomon Islands	Solomon Islands	Solomon Islands	East Asia & Pacific (all income levels)	4
#FB61D7	0.0454545454545448	0.697756752883496	Seychelles	Seychelles	Seychelles	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.275548167111262	Sudan	Sudan	Sudan	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.765110107324149	Sweden	Sweden	Sweden	Europe & Central Asia (all income levels)	4
#F8766D	0.0454545454545448	0.650652728605125	Singapore	Singapore	Singapore	East Asia & Pacific (all income levels)	4
#C49A00	0.0454545454545448	0.702355159410223	Slovenia	Slovenia	Slovenia	Europe & Central Asia (all income levels)	4
#C49A00	0.0454545454545448	0.718024704692044	Slovak Republic	Slovak Republic	Slovak Republic	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.117791280455939	Sierra Leone	Sierra Leone	Sierra Leone	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.234211912738357	Senegal	Senegal	Senegal	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.188283332376281	Somalia	Somalia	Somalia	Sub-Saharan Africa (all income levels)	4
#53B400	0.0454545454545448	0.557332818565159	Suriname	Suriname	Suriname	Latin America & Caribbean (all income levels)	4
#FB61D7	0.0454545454545448	0.586026875291937	South Sudan	South Sudan	South Sudan	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.414238768192541	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	Sub-Saharan Africa (all income levels)	4
#53B400	0.0454545454545448	0.426774176397839	El Salvador	El Salvador	El Salvador	Latin America & Caribbean (all income levels)	4
#53B400	0.0454545454545448	0.789078826302719	Sint Maarten (Dutch part)	Sint Maarten (Dutch part)	Sint Maarten (Dutch part)	Latin America & Caribbean (all income levels)	4
#00C094	0.0454545454545448	0.449215160315463	Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic	Middle East & North Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.316883281383374	Swaziland	Swaziland	Swaziland	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.254620857011485	Chad	Chad	Chad	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.243921011080905	Togo	Togo	Togo	Sub-Saharan Africa (all income levels)	4
#F8766D	0.0454545454545448	0.489219776963602	Thailand	Thailand	Thailand	East Asia & Pacific (all income levels)	4
#C49A00	0.0454545454545448	0.502778995679892	Tajikistan	Tajikistan	Tajikistan	Europe & Central Asia (all income levels)	4
#F8766D	0.0454545454545448	0.153097161707677	Timor-Leste	Timor-Leste	Timor-Leste	East Asia & Pacific (all income levels)	4
#C49A00	0.0454545454545448	0.475891618674441	Turkmenistan	Turkmenistan	Turkmenistan	Europe & Central Asia (all income levels)	4
#00C094	0.0454545454545448	0.380720564982268	Tunisia	Tunisia	Tunisia	Middle East & North Africa (all income levels)	4
#F8766D	0.0454545454545448	0.583726151894185	Tonga	Tonga	Tonga	East Asia & Pacific (all income levels)	4
#C49A00	0.0454545454545448	0.379708535512791	Turkey	Turkey	Turkey	Europe & Central Asia (all income levels)	4
#53B400	0.0454545454545448	0.612536118868126	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	Latin America & Caribbean (all income levels)	4
#FB61D7	0.0454545454545448	0.307769695687717	Tanzania	Tanzania	Tanzania	Sub-Saharan Africa (all income levels)	4
#C49A00	0.0454545454545448	0.716655063607554	Ukraine	Ukraine	Ukraine	Europe & Central Asia (all income levels)	4
#FB61D7	0.0454545454545448	0.312828702934312	Uganda	Uganda	Uganda	Sub-Saharan Africa (all income levels)	4
#00B6EB	0.0454545454545448	0.714706251320855	United States	United States	United States	North America	4
#53B400	0.0454545454545448	0.684170931815398	Uruguay	Uruguay	Uruguay	Latin America & Caribbean (all income levels)	4
#C49A00	0.0454545454545448	0.545171743453152	Uzbekistan	Uzbekistan	Uzbekistan	Europe & Central Asia (all income levels)	4
#53B400	0.0454545454545448	0.469427247185215	St. Vincent and the Grenadines	St. Vincent and the Grenadines	St. Vincent and the Grenadines	Latin America & Caribbean (all income levels)	4
#53B400	0.0454545454545448	0.539383831767032	Venezuela, RB	Venezuela, RB	Venezuela, RB	Latin America & Caribbean (all income levels)	4
#53B400	0.0454545454545448	0.620586750592273	Virgin Islands (U.S.)	Virgin Islands (U.S.)	Virgin Islands (U.S.)	Latin America & Caribbean (all income levels)	4
#F8766D	0.0454545454545448	0.315688455753619	Vietnam	Vietnam	Vietnam	East Asia & Pacific (all income levels)	4
#F8766D	0.0454545454545448	0.351921238949051	Vanuatu	Vanuatu	Vanuatu	East Asia & Pacific (all income levels)	4
#F8766D	0.0454545454545448	0.406175975393281	Samoa	Samoa	Samoa	East Asia & Pacific (all income levels)	4
#00C094	0.0454545454545448	0.21634881353321	Yemen, Rep.	Yemen, Rep.	Yemen, Rep.	Middle East & North Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.391635129895293	South Africa	South Africa	South Africa	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.330455041208373	Zambia	Zambia	Zambia	Sub-Saharan Africa (all income levels)	4
#FB61D7	0.0454545454545448	0.430684722113544	Zimbabwe	Zimbabwe	Zimbabwe	Sub-Saharan Africa (all income levels)	4
